FSO_Att,Absolute Humidity,Wind Speed,Visibility,Time,Wind Speed Max,Temperature,Temperature Difference,Particulate,Distance,SYNOP Code
5.089378111,6.363380911,0.05395346,52334.04514,5,0.103305051,5.748856045,0,12.80605783,4823.906734,5
4.645288585,6.237373455,0.37729125,75000.29564,5,0.642311411,5.780270141,0,0,4827.875066,5
4.680068604,6.33942944,0.300278109,74996.27656,5,0.664560403,5.854745148,-0.1,0,4821.997178,0
4.746875059,6.306358675,0.545306011,74999.25272,5,0.815837787,5.745157813,-0.088,0,4823.725615,0
4.687739205,6.174732731,0.679132519,75003.33087,6,1.082351927,5.864075281,0.1,0,4823.493887,0
5.013871877,6.325665039,0.153515881,60772.40652,6,0.271892189,5.869450075,0.1,0,4822.640032,0
4.770811867,6.313609928,0.079957154,74995.42992,6,0.281507002,5.930142171,0,0,4819.841556,0
4.788430312,6.367593184,0.382379396,75004.50652,6,0.674767671,5.886348551,0,0,4821.584534,0
4.566077853,6.202823632,0.240695879,75003.08491,7,0.339736262,6.115610603,0.2,0,4819.256451,0
4.69009684,6.14539369,0.072612222,75003.70614,7,0.144611261,6.055849455,0.2,0,4818.718686,0
4.718354519,6.199077,0.637139424,73497.57448,7,0.901934985,6.162337402,0.2,5.090167343,4820.643806,5
4.888663057,6.216493574,0.113707609,75000.33412,7,1.143043991,6.171327031,0.34,0,4826.94163,5
4.601609576,6.308634414,0.184912689,75004.02242,7,0.340266554,6.226153641,0.4,0,4823.964505,0
4.108191037,6.050495206,0.017948158,74996.06146,8,0.060625484,6.428672833,0.3,0,4826.647028,0
4.008196047,6.152348806,0.067577788,75004.47684,8,0.112949185,6.403727294,0.2,0,4818.454885,0
4.048503878,5.978048708,0.348742717,75001.41671,8,0.552539421,6.402602874,0.2,0,4827.857459,0
3.815738648,5.907812329,0.208946494,75002.67657,8,0.946337924,6.658716593,0.2,0,4823.002962,0
3.75056825,5.891142605,0.003210373,74996.13255,9,0.005591818,6.526890475,0.2,0,4822.968733,0
3.732960662,5.869403067,0.163395301,74996.67104,9,0.316907901,6.626327683,0.1,0,4821.918076,0
3.581149484,5.745686854,0.111104261,74996.35509,9,0.250144444,6.699762859,0.103,0,4821.29231,0
3.60583738,5.757792874,0.443341197,75000.11335,9,1.418945199,6.781245579,0.2,0,4823.481181,0
3.439349168,5.749442361,0.911409349,74999.30156,9,2.0633361,6.982945072,0.3,0,4826.899088,0
3.432843347,5.688365232,0.847012014,75001.20205,10,1.442884955,6.917390711,0.3,0,4818.057126,0
3.516257669,5.862138258,0.818882182,74997.62169,10,1.342334834,7.005858367,0.3,0,4824.176522,0
3.374923197,5.786758769,0.837799521,75003.0327,10,1.909359848,7.119500707,0.223,0,4823.999055,0
3.502502939,5.779802292,0.988554139,75002.61285,10,1.63593029,7.206230573,0.265,0,4823.99612,0
3.336232815,5.900467289,0.893606592,75000.69765,11,1.575973716,7.447147185,0.3,0,4819.984534,0
4.130244354,5.903744756,0.455325862,73371.60313,11,0.892710848,7.429047756,0.3,8.08258012,4822.492252,6
4.178118232,5.841642492,1.295822965,53107.86191,11,1.986103425,7.596642366,0.298,10.02020945,4826.338481,6
3.16768404,5.887820417,1.490301287,75001.49049,11,2.178134537,7.431753345,0.2,0,4819.375483,0
3.209359018,5.96606813,0.688115934,74999.13961,11,1.575348564,7.64908681,0.228,0,4824.396218,0
3.116368481,5.937935678,0.514414682,75004.27399,12,0.946659548,7.69517988,0.15,0,4826.621576,0
3.062357184,5.916189966,1.613776924,74996.59068,12,2.666929745,7.556770198,0.002,0,4826.690032,0
3.402246008,5.925398384,0.628842692,75003.33335,12,1.029166924,7.369618186,-0.158,6.040478261,4824.608941,6
3.551181343,5.82003659,0.695280524,74995.46006,12,0.967265009,7.374711255,-0.1,6.106937589,4824.94948,6
3.294363554,5.905422382,0.405772508,74997.46249,12,0.596403442,7.464567941,-0.14,0,4821.701988,6
3.269736874,5.98598134,0.096673282,74999.75934,12,0.182311679,7.390237027,-0.2,0,4822.306051,0
3.15054174,5.930163125,1.468387663,74996.1582,12,2.273268697,7.267890588,-0.35,0,4827.870462,0
5.22071221,6.182000268,0.416297645,73089.13741,13,0.647910106,7.338663693,-0.2,7.888304367,4823.391572,6
5.312574469,5.986936463,0.378309993,30061.60178,13,0.90321954,7.351940049,-0.2,37.62747401,4826.66568,6
4.038310242,6.208923375,0.685875112,61740.52157,13,1.165754904,7.080004777,-0.231,4.986601437,4827.198753,5
3.894186251,6.030552156,0.421440262,73874.78512,13,0.668260874,7.114863224,-0.4,0,4824.076862,5
3.578910079,6.135719433,1.133231108,75001.66389,13,2.210233775,7.204126422,-0.37,0,4826.167102,0
3.317487574,6.204994916,0.537231007,75002.47879,13,0.938102362,7.213529127,-0.15,0,4818.453537,0
3.580953822,6.137214615,0.4632972,75002.56496,13,0.804121397,7.394110954,0.1,0,4826.937824,0
4.358544771,5.833449333,2.050776036,60686.99489,13,3.841787608,7.40195542,0.1,17.0204955,4822.006898,8
